category,id,sku,name,url_key,price,regular_price,image
Home & Living,6097023,6971732564476,"Diva Fluffy Bath Microfiber Mat, Pink - 45*75 cm",diva-fluffy-bath-microfiber-mat-pink-4575-cm,329.95,329.95,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6971732564476.jpg
Home & Living,6096987,6971732564471,"Diva Fluffy Bath Microfiber Mat, Beige - 45*75 cm",diva-fluffy-bath-microfiber-mat-beige-4575-cm,329.95,329.95,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6971732564471.jpg
Home & Living,6097020,6971732564475,"Diva Fluffy Bath Microfiber Mat, Petrol - 45*75 cm",diva-fluffy-bath-microfiber-mat-petrol-4575-cm,329.95,329.95,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6971732564475.jpg
Home & Living,8915144,6221346065476,"Grand House Jakar Kitchen Towel, 30*50 cm, Maroon - Pack of 3",جراند-هاوس3050ف-جاكار-نبيتى3ق,174.95,174.95,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6221346065476.jpg
Home & Living,3486106,6959125702167,"Liao Multi-Purpose Microfiber Cleaning Cloths, 3 Pieces - G130019",liao-multipurpose-microfiber-cleaning-cloths-3-pieces-g130019,132,132,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6959125702167.jpg
Home & Living,8915231,6222018977349,"Eshraqa Bath Towel, 90*150 cm - Maroon",اشراقة-فوطة-90150-نبيتى,430,430,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6222018977349.jpg
Home & Living,6321349,6222018929539,"Grand House Jakar Towel, Creamy - 3 Pieces",grand-house-jakar-towel-creamy-3-pieces,129.95,129.95,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6222018929539.jpg
Pets Food,8946585,8009470014564,Monge Adult Dog Food with Duck - 400 g,monge-adult-dog-food-duck-400-g,160,160,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/0/8009470014564.jpg
Pets Food,8911940,6222019218670,Wags Anti-Hairball Dry Food with Chicken for Cats - 2 kg,واجز-اكل-قطط-عناية-دجاج-2-كجم,449,449,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6222019218670.jpg
Pets Food,8906463,6225000457164,Pawer Adult Cat Dry Food - 1 kg,باور-اكل-قطط-بالغه-1-كجم,84.95,84.95,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6225000457164.jpg
Pets Food,8837505,8009470387873,Gemon Wet Cat Food with Chicken Chunks - 415 g,gemon-wet-cat-food-with-chicken-chunks-415-g,105,105,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/0/8009470387873.jpg
Pets Food,8837502,8009470300742,Gemon Wet Cat Food with Tuna - 415 g,gemon-wet-cat-food-with-tuna-415-g,105,105,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/0/8009470300742_3.jpg
Pets Food,8837499,8009470300735,Gemon Wet Cat Food with Salmon Chunks - 415 g,gemon-wet-cat-food-with-salmon-chunks-415-g,105,105,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/0/8009470300735.jpg
Pets Food,8694849,8009470387880,Gemon Dog Food with Tuna & Salmon Chunks - 415 g,gemon-dog-food-with-tuna-and-salmon-chunks-415-g,105,105,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/0/8009470387880.jpg
Pets Food,8694846,8009470300919,Gemon Cat Food with Meat & Veggies - 100 g,gemon-cat-food-with-meat-and-veggies-100-g,55,55,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/0/8009470300919_2.jpg
Pets Food,8694843,8009470300728,Gemon Cat Food with Turkey - 415 g,gemon-cat-food-with-turkey-415-g,105,105,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/0/8009470300728.jpg
Pets Food,8694840,8009470013734,Monge Adult Cat Food with Turkey - 85 g,monge-adult-cat-food-with-turkey-85-g,85,85,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/0/8009470013734_1.jpg
Pets Food,8479674,5410340410738,"Lara Adult Cat Dry Food, Salmon Flavor - 2 kg",lara-adult-cat-dry-food-salmon-flavor-2-kg,575,575,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/5/4/5410340410738.jpg
Pets Food,7619002,5410340410691,Lara Adult Cat Dry Food with Turkey & Chicken Flavor - 2 kg,lara-adult-cat-dry-food-with-turkey-and-chicken-flavor-2-kg,575,575,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/5/4/5410340410691.jpg
